concept_id,concept,tamil,romanization,language,era,english,definition,historical_meaning,modern_meaning,commentary_reference,source_reference,related_concepts,example_sentence,example_translation,confidence,verified_by,version,revision_history
kodai,Kodai,கொடை,Kodai,Tamil,Sangam,"Royal generosity, philanthropic giving","Giving wealth, food, and gifts — especially by kings to poets and warriors.","Kodai is the Puram virtue of generosity, inseparable from valor (Viram). Sangam kings were evaluated by their Kodai: Chera Uthiyan Cheralathan, Chola Karikal Peruvalathan, and Pandya Nedunchezhiyan are praised for it.","Generosity, donation.","Nachinarkkiniyar, Ilamarukanar","Purananuru 67, 72, 312; Pathitrupathu","Igai, Viram, Vallal, Pukazh, Arasan",ஈயாது வாழ்தல் புன்மை ஆகும் ஈதல் வலியார் செல்வம்.,To live without giving is baseness; generosity is the wealth of the powerful.,0.96,Tamil Scholar / Tolkappiyam Tradition,1,[]
manam,Manam,மானம்,Manam,Tamil,Sangam & Post-Sangam,"Self-respect, honor, dignity",Preserving one's honor and dignity even at the cost of life.,Thirukkural Chapter 97: 'He who cannot tolerate shame is the true noble man.' Manam is the driving ethic of Sangam warriors — they would accept death before accepting dishonor. Purananuru 312 links it to noble parenthood.,"Self-respect, honor.",Nachinarkkiniyar,Thirukkural Ch 97; Purananuru 312,"Viram, Sanror, Pukazh, Nan",மானம் உடையவர்க்கு மாண்பு குன்றாது.,"For those who possess self-respect, excellence never diminishes.",0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
nan,Nan,நாண்,Naan,Tamil,Post-Sangam,"Moral shame, modesty, shrinking from wrongdoing",The inner restraint that prevents wrong action through moral shame.,Thirukkural Chapter 102: Nan is one of the four virtues of a nobleman. It is the internal conscience that causes one to shrink from base action even when no one is watching — the foundation of moral integrity.,"Shyness, modesty, shame.",Parimelazhagar,Thirukkural Ch 102,"Ozhukkam, Manam, Sanror",நாணின் மகிழ்ச்சி நலனில் உழல்வான் வாணிக வாழ்க்கை வழக்கு.,The life of one who wanders without modesty is mere commerce without nobility.,0.94,Tamil Scholar / Tolkappiyam Tradition,1,[]
karpu,Karpu,கற்பு,Karpu,Tamil,Sangam & Post-Sangam,"Chastity, marital fidelity",Absolute devotion and loyalty to one's spouse as a moral and spiritual power.,Karpu is the supreme virtue of married women in Classical Tamil. Silappathikaram's Kannaki demonstrates its power: her chastity enables her to burn Madurai. Thirukkural Ch 55: 'She who worships her husband commands the rains.',"Chastity, fidelity.","Nachinarkkiniyar, Adiyarkkunallar",Tolkappiyam Akattinaiyal; Silappathikaram; Thirukkural Ch 55,"Illaram, Anbu, Manaivi, Ozhukkam",தெய்வம் தொழாஅள் கொழுநன் தொழுதெழுவாள் பெய்யெனப் பெய்யும் மழை.,The woman who worships her husband rather than the gods commands the rain to fall.,0.96,Tamil Scholar / Tolkappiyam Tradition,1,[]
vrunthompal,Vrunthompal,விருந்தோம்பல்,Virunthombal,Tamil,Post-Sangam,"Hospitality, welcoming of guests",The householder's duty to feed and shelter strangers with generosity.,Thirukkural Chapter 9: 'All domestic living is for the sake of welcoming guests.' Hospitality was a cardinal virtue — eating alone while a guest waits outside is condemned even if the food is nectar. Purananuru 182 glorifies it.,Hospitality.,Parimelazhagar,Thirukkural Ch 9 (vv. 81–90); Purananuru 182,"Illaram, Anbu, Igai, Kodai",இருந்தோம்பி இல்வாழ்வ தெல்லாம் விருந்தோம்பி வேளாண்மை செய்தற் பொருட்டு.,All domestic living is for the sake of welcoming guests with hospitality.,0.96,Tamil Scholar / Tolkappiyam Tradition,1,[]
inna-seyyamai,Inna-Seyyamai,இன்னா செய்யாமை,Inna Seyyaamai,Tamil,Post-Sangam,"Not doing harm, non-retaliation",Refraining from causing pain even to those who have wronged us.,Thirukkural Chapter 32: 'The cure for those who do evil is not to retaliate but to bring them to shame by doing good.' This principle of non-retaliation is distinct from mere passivity — it is an active moral stance.,"Non-harm, forgiveness.",Parimelazhagar,Thirukkural Ch 32,"Aram, Kollamai, Arul, Thavam",அகழ்வாரைத் தாங்கும் நிலம்போல் தம்மை இகழ்வார்ப்பொறுத்தல் தலை.,"To endure those who insult us is the highest virtue, as the earth bears those who dig it.",0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
sanror,Sanror,சான்றோர்,Saanror,Tamil,Sangam,"Noble scholars, the fully virtuous person","The ideal complete human characterized by wisdom, courage, and moral excellence.","The Sanror (noble one) is the ethical ideal of Sangam society — possessing learning, valor, generosity, and wisdom simultaneously. Purananuru 312: 'To make him a noble man (Sanror) is the father's duty.'","Wise, noble, scholar-sage.",Nachinarkkiniyar,Purananuru 312; Thirukkural Ch 98,"Manam, Pukazh, Ozhukkam, Panpu, Viram",ஈன்று புறந்தருதல் என்தலைக் கடனே சான்றோன் ஆக்குதல் தந்தைக்குக் கடனே.,Bearing and nurturing the child is the mother's duty; making him noble (Sanror) is the father's.,0.96,Tamil Scholar / Tolkappiyam Tradition,1,[]
panpu,Panpu,பண்பு,Panbu,Tamil,Sangam & Post-Sangam,"Character, culture, noble disposition","Affability, empathy, and cultivated goodness of heart.","Thirukkural Chapter 100: Panpu is the all-encompassing quality of good character — loving conduct towards all, cultural refinement, and inner goodness. The Sanror is defined partly by their Panpu.","Character, nature, culture.",Parimelazhagar,Thirukkural Ch 100; Purananuru,"Sanror, Ozhukkam, Anbu, Manam",பண்புடையவர் பழகில் பண்பு பெறுவர் மற்றவர்.,Those who associate with the noble-charactered will themselves acquire noble character.,0.94,Tamil Scholar / Tolkappiyam Tradition,1,[]
viram,Viram,வீரம்,Veeram,Tamil,Sangam,"Valor, military courage, heroism",Fearlessness in the face of the enemy and death on the battlefield.,Viram is the defining virtue of Puram poetry. Heroes wore Thumbai flowers and sought glorious death (Maranam) for eternal fame (Pukazh). Purananuru records kings and warriors who achieved immortality through Viram.,"Bravery, courage, heroism.",Nachinarkkiniyar,Purananuru; Purattinaiyal; Pathitrupathu,"Pukazh, Kodai, Thumbai, Manam, Arasan",விளங்கு தும்பை சூடிப் போர்க்களத்தே உயிர் துறந்தான்.,"Wearing the bright Thumbai flower, he sacrificed his life on the battlefield.",0.97,Tamil Scholar / Tolkappiyam Tradition,1,[]
sengol,Sengol,செங்கோல்,Sengkol,Tamil,Sangam & Post-Sangam,"Just scepter, righteous governance",The symbol of unbiased justice and the king's duty to rule righteously.,"Thirukkural Chapter 55: 'To investigate, be impartial, and administer justice to all is righteous rule.' If the scepter bends (Murankolmai), rains fail and the land suffers. Silappathikaram dramatizes this: Pandyan's unjust execution causes cosmic disorder.","Just rule, governance, the scepter.","Parimelazhagar, Adiyarkkunallar",Thirukkural Ch 55; Silappathikaram; Purananuru 187,"Arasan, Nadu, Aram, Porul",ஓர்ந்துகண் ணோடாது இறைபுரிந்து யார்மாட்டும் தேர்ந்துசெய் வஃதே முறை.,"Investigation, impartiality, and justice to all is the way of righteous rule.",0.97,Tamil Scholar / Tolkappiyam Tradition,1,[]
arasan,Arasan,அரசன்,Arasan,Tamil,Sangam,"King, ruler, protector of the state",The head of state whose primary duty is the welfare of his people.,"The ideal Sangam king embodies Sengol, Kodai, and Viram. Thirukkural Book 2 dedicates 57 chapters to the king's duties. He is the father of the people, and his virtue determines the prosperity of rain and harvest.","King, ruler, leader.",Nachinarkkiniyar,Thirukkural Book 2; Purananuru; Pathitrupathu,"Sengol, Nadu, Viram, Kodai, Porul",நாடுகாத்து நல்ல வழி நடந்த அரசன் வாழ்க்கை நீடுழி வாழ்க.,Long live the king who protects the land and walks the righteous path.,0.96,Tamil Scholar / Tolkappiyam Tradition,1,[]
vinai,Vinai,வினை,Vinai,Tamil,Sangam & Post-Sangam,"Action, deed, karma",The actions performed by a person which accumulate as karma and determine fate.,"Vinai is both the external work a hero does (Vetchi, war, travel) and the internal karma that shapes destiny. Kurunthokai 135: 'Action is the life of men.' Tolkappiyam classifies Vinai in detail.","Action, deed, verb (grammar).",Nachinarkkiniyar,Tolkappiyam; Kurunthokai 135; Thirukkural Ch 37,"Oozh, Aram, Thavam, Palai",வினையே ஆடவர்க்கு உயிரே மனையுறை மகளிர்க்கு ஆடவர் உயிர்.,"Action is the life of men; for women who remain at home, their husband is their life.",0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
akam,Akam,அகம்,Akam,Tamil,Sangam,"Interior life, love poetry genre","The inner, personal world dealing with love, classified by five landscapes.","One of the two primary divisions of Classical Tamil literature (with Puram). Tolkappiyam Akattinaiyal classifies Akam into five Tinais, each associated with a landscape, season, flower, bird, and emotional situation — without naming individuals.","Inside, interior, heart.","Nachinarkkiniyar, Ilamarukanar",Tolkappiyam Akattinaiyal,"Puram, Tinai, Kurinji, Mullai, Neythal, Palai, Marutham",அகப்பொருள் மாந்தரின் உள்ளத்துணர்வுகளை விளக்கும் இலக்கியப் பாகுபாடாகும்.,Akam literature is the classification that explains the inner feelings of humans.,0.99,Tamil Scholar / Tolkappiyam Tradition,1,[]
puram,Puram,புறம்,Puram,Tamil,Sangam,"Exterior life, heroic poetry genre","The outer, public world of warfare, statecraft, and heroic ethics.","Tolkappiyam Purattinaiyal classifies Puram into seven warfare stages, each with a symbolic flower worn by the warriors. Kings and heroes are named, unlike Akam poetry. Purananuru, Pathitrupathu, and Agananuru are key texts.","Outside, exterior.",Nachinarkkiniyar,Tolkappiyam Purattinaiyal,"Akam, Tinai, Vetchi, Thumbai, Vakai, Viram",புறப்பொருள் போரையும் வீரத்தையும் கொடையையும் பாடும் மரபாகும்.,"Puram literature is the tradition of singing about war, valor, and philanthropy.",0.99,Tamil Scholar / Tolkappiyam Tradition,1,[]
tinai,Tinai,திணை,Tinai,Tamil,Sangam,"Landscape, genre, category of emotional experience","Tolkappiyam's classification system linking landscape, season, and emotion.",Tolkappiyam establishes five main Akam Tinais and seven Puram Tinais. Each Akam Tinai maps: place → time → flower → bird → tree → deity → emotional situation. This is the foundational grammar of Sangam poetics.,"Category, genre, landscape.",Nachinarkkiniyar,Tolkappiyam Porulatikaram,"Akam, Puram, Kurinji, Mullai, Marutham, Neythal, Palai",திணை என்பது இடமும் பொழுதும் உணர்வும் இணைந்த ஓர் இலக்கியக் கோட்பாடு.,"Tinai is a literary concept where place, time, and emotion are unified.",0.99,Tamil Scholar / Tolkappiyam Tradition,1,[]
kurinji,Kurinji,குறிஞ்சி,Kurinji,Tamil,Sangam,Mountain landscape — secret premarital union,The hilly landscape associated with Kalavu (secret love) and union.,"Kurinji Tinai: mountains, night/early dawn, Kurinji flower, Kuyil bird. The emotional situation is Kalavu (secret premarital meeting). Kurunthokai 3 and 40 are celebrated examples.","Kurinji flower, mountain, union.",Nachinarkkiniyar,"Tolkappiyam; Kurunthokai 3, 40; Ainkurunuru","Tinai, Akam, Kadal, Mullai, Kalavu",நிலத்தினும் பெரிதே வானினும் உயர்ந்தன்று சாரல் குறிஞ்சிப் பூக்கொண்டு பெருந்தேன் இழைக்கும் நாடனோடு நட்பே.,Greater than earth and sky is the friendship with the lord of the Kurinji land.,0.98,Tamil Scholar / Tolkappiyam Tradition,1,[]
mullai,Mullai,முல்லை,Mullai,Tamil,Sangam,Pastoral landscape — patient waiting,Forest pastures associated with the heroine's patient wait for the hero's return.,"Mullai Tinai: forest, evening/rainy season, Jasmine flower, Neithal bird. The hero goes away for war or work; the heroine waits with patience (Mella). Ainkurunuru and Natrinai have major Mullai sections.","Jasmine flower, forest, patience.",Nachinarkkiniyar,Tolkappiyam; Ainkurunuru; Natrinai 9; Akananuru 149,"Tinai, Pirivu, Akam, Palai, Neythal",முல்லை நிலத்து மழை பொழியும் மாலையில் தலைவன் வாரான் என்று தலைவி காத்தாள்.,"In the Mullai land when evening rains fell, the heroine waited for her love to return.",0.98,Tamil Scholar / Tolkappiyam Tradition,1,[]
marutham,Marutham,மருதம்,Marutham,Tamil,Sangam,Agricultural landscape — marital quarrel,Fertile river plains associated with infidelity and the wife's righteous jealousy.,"Marutham Tinai: agricultural plains, midday/all seasons, White Marudam flower. The hero strays to a courtesan (Parathai); the wife (Manaivi) shows jealousy (Udal). Kalithokai has extensive Marutham poems.","Agricultural land, water area.",Nachinarkkiniyar,Tolkappiyam; Kalithokai; Akananuru 168,"Tinai, Udal, Parathai, Manaivi, Akam",மருதம் நிலத்தில் மனைவி மனம் கொதித்து ஊடல் கொண்டாள்.,"In the fertile Marutham land, the wife seethed inwardly and took up a lover's tiff.",0.97,Tamil Scholar / Tolkappiyam Tradition,1,[]
neythal,Neythal,நெய்தல்,Neythal,Tamil,Sangam,Coastal landscape — grief and longing,The seashore region symbolizing the heroine's grief during separation.,"Neythal Tinai: seashore, evening/all seasons, Blue Lotus flower, Tern bird. The hero delays his return; the heroine weeps by the sea. Narrinai opens with a Neythal poem; Kurunthokai has many.","Blue lotus, coastal area.",Nachinarkkiniyar,Tolkappiyam; Narrinai 1; Kurunthokai 31,"Tinai, Pirivu, Akam, Kadal, Thozhi",நெய்தல் நிலத்துத் தலைவி கடலையே நோக்கி நின்றாள்.,The heroine of the coastal land stood gazing at the sea for her departed lover.,0.98,Tamil Scholar / Tolkappiyam Tradition,1,[]
palai,Palai,பாலை,Palai,Tamil,Sangam,Arid landscape — painful separation,The desert/wilderness region symbolizing painful separation and dangerous travel.,"Palai Tinai: arid wasteland, noon/hot seasons, Palai tree. The hero departs through the dangerous desert for wealth or war. Akananuru and Narrinai have major Palai sections of grief and longing.","Desert, arid land, separation.",Nachinarkkiniyar,Tolkappiyam; Akananuru; Natrinai 52,"Tinai, Pirivu, Vinai, Mullai, Akam",பாலை நிலத்தில் பிரிந்த காதலன் வரும் நாள் வரை பொறுத்திருக்கும் கல்மனம்.,"In the arid Palai landscape, the heroine's stone-like heart waits for her love to return.",0.98,Tamil Scholar / Tolkappiyam Tradition,1,[]
vetchi,Vetchi,வெட்சி,Vetchi,Tamil,Sangam,Cattle raiding — first stage of war,Invading force wearing Vetchi flowers to steal enemy cattle as the first act of war.,Tolkappiyam Purattinaiyal establishes seven Puram genres by warfare flower. Vetchi is the first: cattle raiding to provoke conflict. The defenders respond with Karanthai (cattle rescue).,"Cattle raid, first strike.",Nachinarkkiniyar,Tolkappiyam Purattinaiyal,"Puram, Karanthai, Thumbai, Vakai, Viram",மன்னன் வெட்சி பூவைச் சூடிப் போர்க்களத்திற்குச் சென்றான்.,The king went to the battlefield wearing the Vetchi flower.,0.96,Tamil Scholar / Tolkappiyam Tradition,1,[]
karanthai,Karanthai,கரந்தை,Karanthai,Tamil,Sangam,Cattle rescue — defensive warfare,Defenders wearing Karanthai flowers to rescue raided cattle.,"The second stage of Puram warfare. After Vetchi (cattle raid), the defenders mobilize wearing Karanthai flowers to reclaim their cattle and honor. Part of the ritualized warfare cycle in Sangam culture.","Defense, counter-raid.",Nachinarkkiniyar,Tolkappiyam Purattinaiyal,"Vetchi, Thumbai, Puram, Viram",காளையரும் கரந்தை சூடிப் போர்க்களம் புகுந்தனர்.,The young warriors wore Karanthai flowers and entered the battlefield.,0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
vanji,Vanji,வஞ்சி,Vanji,Tamil,Sangam,Invasion march — conquest of enemy territory,King marching with troops wearing Vanji flowers to conquer enemy land.,Vanji is the offensive march of a king to claim dominion. The Chera dynasty capital was named Vanji. Vanji songs in Purananuru celebrate the martial departure of kings for conquest.,"Invasion, marching, conquest.",Nachinarkkiniyar,Tolkappiyam Purattinaiyal; Purananuru,"Puram, Viram, Arasan, Kanchi, Kodai",வஞ்சிப் பூவைச் சூடிய மன்னன் பகை நாட்டை வென்றான்.,The king wearing Vanji flowers conquered the enemy land.,0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
kanchi,Kanchi,காஞ்சி,Kanchi,Tamil,Sangam,"Defense of land, impermanence",Defending one's territory or reflecting on the transience of all things.,"Kanchi is the meditative warfare genre — the defender's awareness of impermanence, the brevity of victory and life. It is the philosophical layer of Puram poetry, reflecting that all greatness passes. Purananuru has many Kanchi poems.","Defense, transience, gold (tree).",Nachinarkkiniyar,Tolkappiyam Purattinaiyal; Purananuru,"Puram, Vanji, Thumbai, Viram, Oozh",காஞ்சி நிலையில் வீரன் வாழ்க்கையின் நிலையாமையை உணர்ந்தான்.,"In the Kanchi stage, the warrior understood the impermanence of life.",0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
nochi,Nochi,நொச்சி,Nochi,Tamil,Sangam,Fortress defense,Soldiers defending the walls of a fort wearing Nochi leaves.,Nochi is the Puram genre of fort defense. The defenders within the fort wear Nochi leaves; the besiegers respond with Uzhignai. It represents endurance and the courage of the besieged.,"Fortress, siege defense.",Nachinarkkiniyar,Tolkappiyam Purattinaiyal,"Uzhignai, Puram, Viram, Vetchi",நொச்சி இலையணிந்த வீரர்கள் கோட்டை மதிலில் காவல் நின்றார்.,Warriors wearing Nochi leaves stood guard on the fort walls.,0.95,Tamil Scholar / Tolkappiyam Tradition,1,[]
uzhignai,Uzhignai,உழிஞை,Uzhignai,Tamil,Sangam,Fortress siege,Invaders encircling and besieging a fort wearing Uzhignai.,Uzhignai is the Puram genre of besieging a fort. The invaders wear Uzhignai and attempt to break through. It stands opposite to Nochi (fortress defense).,"Siege, encirclement.",Nachinarkkiniyar,Tolkappiyam Purattinaiyal,"Nochi, Puram, Vanji, Viram",உழிஞை சூடிய படைகள் கோட்டையை வளைத்தனர்.,Armies wearing Uzhignai encircled and besieged the fortress.,0.94,Tamil Scholar / Tolkappiyam Tradition,1,[]
thumbai,Thumbai,தும்பை,Thumbai,Tamil,Sangam,Open battle — equal combat,Both armies meeting on an open field wearing Thumbai flowers for open warfare.,Thumbai is the most glorified Puram genre — open pitched battle where both sides agree to fight equally. The warrior who dies in Thumbai wearing its flowers achieves eternal fame (Pukazh) and a hero stone (Naduvaikal).,"Open battle, Thumbai flower.",Nachinarkkiniyar,Tolkappiyam Purattinaiyal; Purananuru 282,"Puram, Viram, Vakai, Manam, Vetchi",விளங்கு தும்பை சூடிப் போர்க்களத்தே உயிர் துறந்தான்.,"Wearing the bright Thumbai flower, he sacrificed his life on the battlefield.",0.97,Tamil Scholar / Tolkappiyam Tradition,1,[]
vakai,Vakai,வாகை,Vakai,Tamil,Sangam,"Victory, celebration of triumph",The victorious warriors wearing Vakai flowers to celebrate military triumph.,Vakai concludes the Puram warfare cycle. Victorious armies wear White Vakai flowers. Vakai songs praise the king's victory in war and the distribution of spoils. It also represents the scholar's victory in learned debate.,"Victory, triumph, Vakai flower.",Nachinarkkiniyar,Tolkappiyam Purattinaiyal; Akananuru 100,"Thumbai, Viram, Pukazh, Arasan, Kodai",வேல்வீரன் வெற்றிக்கு மகிழ்ந்த குடிமக்கள் வாகை மாலை சூடினர்.,The people rejoiced at the warrior's victory and wore garlands of Vakai flowers.,0.96,Tamil Scholar / Tolkappiyam Tradition,1,[]
