ID,Source_Book,Verse,Era,Translator,Input_Tamil,Reference_English,Baseline_Translation,FIneTuned_Translation,IKS_Concepts,Cultural_Notes,Reviewer_Fluency_Score (1-5),Reviewer_Adequacy_Score (1-5),Reviewer_Concept_Accuracy_Score (1-5),Reviewer_Notes
TK-0265-DREW,Thirukkural,265,Post-Sangam (c. 1st–5th century CE),W.H. Drew,ஒன்னார்த் தெறலும் உவந்தாரை ஆக்கலும் எண்ணும் தவத்தான் வரும்.,Destroying enemies and raising loved ones both come through the power of penance.,,,,"Thirukkural couplet 265, Penance (தவம்).",,,,
TK-0057-POPE,Thirukkural,57,Post-Sangam (c. 1st–5th century CE),G.U. Pope,சிறைகாக்கும் காப்பே வலிதுகொல் உள்ளதே உம்மைகாக்கும் கணவன் தொழில்.,Is a woman more protected by external guard or by her own inner virtue? The husband protects her from without.,,,,"Thirukkural couplet 57, The Help of a Good Wife (வாழ்க்கைத் துணைநலம்).",,,,
TK-0378-POPE,Thirukkural,378,Post-Sangam (c. 1st–5th century CE),G.U. Pope,வகைமாண்ட வாழ்க்கையும் வான்பொருளும் என்னாம் தகைமாண்ட தக்கார் கடை.,What avails excellent living and vast wealth at the door of the worthy who have noble dignity?,,,,"Thirukkural couplet 378, Fate / Destiny (ஊழ்).",,,,
MMK-MM-2,Manimekalai,MM-2,Post-Sangam (c. 5th–6th century CE),Alain Danielou,மாணிக்கவாசகர் கொடை உலகம் புகழும் திறன் உடையது.,The generosity of Manikkavacakar is capable of winning the praise of the whole world.,,,"Igai, Pukazh",Generosity (Igai) as the path to eternal fame (Pukazh) in the Manimekalai tradition.,,,,
KRT-0065,Kurunthogai,65,Sangam (c. 300 BCE – 300 CE),A.K. Ramanujan,கொல்லா ஒழுக்கமும் உயிர் ஓம்பும் அறனும் ஒரு மனத்தோர்க்கு ஒவ்வாது.,"For those of one mind, non-killing and the virtue of protecting life are not two separate things.",,,"Kollamai, Aram",Equates non-killing with the fundamental virtue of protecting all lives.,,,,
TK-0051-DREW,Thirukkural,51,Post-Sangam (c. 1st–5th century CE),W.H. Drew,மனைத்தக்க மாண்புடையள் ஆகித்தற் கொண்டான் வளத்தக்காள் வாழ்க்கைத் துணை.,A wife who is virtuous and fitted for her husband's prosperity is a true partner in life.,,,,"Thirukkural couplet 51, The Help of a Good Wife (வாழ்க்கைத் துணைநலம்).",,,,
TK-0294-DREW,Thirukkural,294,Post-Sangam (c. 1st–5th century CE),W.H. Drew,உள்ளத்தால் பொய்யாது ஒழுகின் உலகத்தார் உள்ளத்துள் எல்லாம் உளன்.,One who lives without inner deceit dwells in all people's hearts.,,,,"Thirukkural couplet 294, Truthfulness (வாய்மை).",,,,
TK-0007-DREW,Thirukkural,7,Post-Sangam (c. 1st–5th century CE),W.H. Drew,தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால் மனக்கவலை மாறாது இடும்.,Sorrow shall not cease except for those who reach the feet of the incomparable one.,,,,"Thirukkural couplet 7, Praise of God (கடவுள் வாழ்த்து).",,,,
TK-0325-POPE,Thirukkural,325,Post-Sangam (c. 1st–5th century CE),G.U. Pope,நிலையஞ்சல் கொல்லாமை என்னாத மாக்கள் புலையஞ்சல் கண்ணில் பொதி.,Men who do not fear being unsteady and do not avoid killing — the eyes of those who sin are packages of flesh.,,,,"Thirukkural couplet 325, Non-Killing (கொல்லாமை).",,,,
TK-0250-POPE,Thirukkural,250,Post-Sangam (c. 1st–5th century CE),G.U. Pope,கொல்லான் புலாலை மறுத்தானைக் கைகூப்பி எல்லா உயிரும் தொழும்.,All living beings will worship with clasped hands the man who refrains from killing and does not eat flesh.,,,,"Thirukkural couplet 250, Possession of Compassion (அருளுடைமை).",,,,
TK-0060-DREW,Thirukkural,60,Post-Sangam (c. 1st–5th century CE),W.H. Drew,மங்கலம் என்ப மனைமாட்சி மற்றதன் நன்கலம் நன்மக்கட் பேறு.,A home's excellence is called auspicious; its finest ornament is good children.,,,,"Thirukkural couplet 60, The Help of a Good Wife (வாழ்க்கைத் துணைநலம்).",,,,
TK-0056-DREW,Thirukkural,56,Post-Sangam (c. 1st–5th century CE),W.H. Drew,தற்காத்துத் தற்கொண்டாற் பேணித் தகைசான்ற சொற்காத்துச் சோர்விலாள் பெண்.,"She who protects herself, serves her husband, and speaks well without failing is a true woman.",,,,"Thirukkural couplet 56, The Help of a Good Wife (வாழ்க்கைத் துணைநலம்).",,,,
TK-0024-DREW,Thirukkural,24,Post-Sangam (c. 1st–5th century CE),W.H. Drew,உரன்என்னும் தோட்டியான் ஓரைந்தும் காப்பான் வரன்என்னும் வைப்பிற்கு ஒருவன்.,He who with firm resolve controls the five senses is a worthy treasure.,,,,"Thirukkural couplet 24, The Greatness of Ascetics (நீத்தார் பெருமை).",,,,
TK-0008-DREW,Thirukkural,8,Post-Sangam (c. 1st–5th century CE),W.H. Drew,அறவாழி அந்தணன் தாள்சேர்ந்தார்க் கல்லால் பிறவாழி நீந்தல் அரிது.,"Without reaching the feet of the virtuous one, crossing the ocean of births is impossible.",,,,"Thirukkural couplet 8, Praise of God (கடவுள் வாழ்த்து).",,,,
TK-0009-POPE,Thirukkural,9,Post-Sangam (c. 1st–5th century CE),G.U. Pope,கோளில் பொறியின் குணமிலவே எண்குணத்தான் தாளை வணங்காத் தலை.,The head that worships not the feet of God who is endowed with eight attributes is as useless as a senseless organ.,,,,"Thirukkural couplet 9, Praise of God (கடவுள் வாழ்த்து).",,,,
TK-0379-POPE,Thirukkural,379,Post-Sangam (c. 1st–5th century CE),G.U. Pope,நல்லவை எல்லாம் தீயவாம் தீயவும் நல்லவாம் செல்வச் செயலான் வரும்.,"Through the action of fate, all good things become bad and all bad things become good.",,,,"Thirukkural couplet 379, Fate / Destiny (ஊழ்).",,,,
TK-0322-POPE,Thirukkural,322,Post-Sangam (c. 1st–5th century CE),G.U. Pope,பகுத்துண்டு பல்லுயிர் ஓம்புதல் நூலோர் தொகுத்தவற்றுள் எல்லாம் தலை.,"Among all the things that learned men have summed up, the chief is to share food and protect the many lives.",,,,"Thirukkural couplet 322, Non-Killing (கொல்லாமை).",,,,
TK-0023-POPE,Thirukkural,23,Post-Sangam (c. 1st–5th century CE),G.U. Pope,இருமை வகைதெரிந்த ஈண்டு அறிவுடையார் பெருமை ஒருமை உடைத்து.,The greatness of the wise who have discerned the good of both worlds is simple and undivided.,,,,"Thirukkural couplet 23, The Greatness of Ascetics (நீத்தார் பெருமை).",,,,
TK-0140-DREW,Thirukkural,140,Post-Sangam (c. 1st–5th century CE),W.H. Drew,மோட்டின் மேல் ஏறி உலகியற்றும் மாநில மன்னர் ஒழுக்கம் சான்றோர்க்கு.,Kings who rule from on high set the conduct standard for the noble.,,,,"Thirukkural couplet 140, Right Conduct (ஒழுக்கமுடைமை).",,,,
AKA-0082,Akananuru,82,Sangam (c. 300 BCE – 300 CE),George L. Hart,குறிஞ்சி மலரும் குளிர்வளி வீசும் தலைவன் வரும் நாள் என்று தலைவி காத்தாள்.,"The Kurinji flowers bloom, the cool breeze blows — the heroine waited for the day her love would return.",,,"Kurinji, Kadal",The blooming Kurinji flowers mark seasonal promise — the heroine awaits her lover's return.,,,,
TK-0027-POPE,Thirukkural,27,Post-Sangam (c. 1st–5th century CE),G.U. Pope,குணமென்னும் குன்றேறி நின்றார் வெகுளி கணமேயும் காத்துக் கொளல்.,The anger of those who stand on the mountain of virtue must be avoided even for a moment.,,,,"Thirukkural couplet 27, The Greatness of Ascetics (நீத்தார் பெருமை).",,,,
TK-0036-DREW,Thirukkural,36,Post-Sangam (c. 1st–5th century CE),W.H. Drew,ஈன்றாள் பசிக்கு இரங்கும் தாயினும் சீர்மை சேர்ந்த இடத்து அமைதல்.,The virtuous man is more tender than a mother aching for her hungry child.,,,,"Thirukkural couplet 36, Assertion of the Strength of Virtue (அறன்வலியுறுத்தல்).",,,,
TK-0058-POPE,Thirukkural,58,Post-Sangam (c. 1st–5th century CE),G.U. Pope,பெற்றாற் பெறல்தக்க பேதை பெட்டாங்கு உற்றவர் உள்ளம் உவப்பிக்க வல்லள்.,"The ignorant wife, though she has children, is one who can please the mind of those whom she pleases.",,,,"Thirukkural couplet 58, The Help of a Good Wife (வாழ்க்கைத் துணைநலம்).",,,,
TK-0063-DREW,Thirukkural,63,Post-Sangam (c. 1st–5th century CE),W.H. Drew,தம்பொருள் என்பதம் மக்கள் அவர்பொருள் தம்தம் வினையான் வரும்.,Children are one's own treasures; their achievements come from their own deeds.,,,,"Thirukkural couplet 63, The Blessing of Children (புதல்வரைப் பெறுதல்).",,,,
TK-0071-POPE,Thirukkural,71,Post-Sangam (c. 1st–5th century CE),G.U. Pope,அன்பிலார் எல்லாம் தமக்குரியர் அன்புடையார் என்பும் உரியர் பிறர்க்கு.,Those who lack love claim everything for themselves; those who possess love give even their bones to others.,,,,"Thirukkural couplet 71, Possession of Love (அன்புடைமை).",,,,
TK-0007-POPE,Thirukkural,7,Post-Sangam (c. 1st–5th century CE),G.U. Pope,தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால் மனக்கவலை மாறாது இடும்.,"Unless men seek the feet of God who has no equal, anxiety of mind will not leave them.",,,,"Thirukkural couplet 7, Praise of God (கடவுள் வாழ்த்து).",,,,
TK-0029-DREW,Thirukkural,29,Post-Sangam (c. 1st–5th century CE),W.H. Drew,மறவாமை கல்வி மறந்தாலும் குணம்நல்ல வைகலும் வாழ்தல் குறை.,"Though learning is forgotten, good character always remains as the basis of a worthy life.",,,,"Thirukkural couplet 29, The Greatness of Ascetics (நீத்தார் பெருமை).",,,,
KRT-0135,Kurunthogai,135,Sangam (c. 300 BCE – 300 CE),A.K. Ramanujan,வினையே ஆடவர்க்கு உயிரே மனையுறை மகளிர்க்கு ஆடவர் உயிர்.,"Action (work) is the life of men; but for women who remain at home, their husband is their life.",,,"Vinai, Kanavan","Reflects the gender roles of Sangam society — male domain is external action, female domain is domestic partnership.",,,,
